url,title,total_score,alignment_30,content_quality_20,actionable_20,seo_value_15,redundancy_10,user_value_5,recommendation,justification,consolidate_suggestion,legal_hold,possible_legal_hold,legal_hold_reason,needs_manual_review,review_reasons,dap_visits,dap_pageviews,scored_at
https://www.gsa.gov/blog/blog-post-redirect-page,Blog Post Redirect Page | GSA,0,0,0,0,0,0,0,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. This is a pure redirect/placeholder page with 9 words of real content, no substantive information, part of a 203-page duplicate cluster, and negligible traffic (32 visits); it provides zero independent value.",,,,,yes,js-rendered,32,32,2026-08-17T20:16:49.521Z
https://www.gsa.gov/about-gsa/newsroom/news-releases/results-of-new-survey-recommends-steps-to-improve-diversity-equity-and-inclusion-in-design-and-construction-industry-11092022,"Results of New Survey Recommends Steps to Improve Diversity, Equity and Inclusion in Design and Construction Industry | GSA",1,0,0,0,0,0,1,Needs review,"Flagged for manual review (not-found-404, redirect, js-rendered); not auto-deleted. Page returns a 404 error with no content; the original DEI survey news release is inaccessible and has negligible traffic.",,,,,yes,not-found-404; redirect; js-rendered,52,53,2026-08-17T20:09:32.920Z
https://www.gsa.gov/about-gsa/newsroom/former-gsa-regional-news-archive/region-5-newsroom/great-lakes-feature-stories-and-news-releases/testbyramyalimiteduser-03242023,TestByRamyaLimitedUser | GSA,1,0,0,0,0,0,1,Needs review,"Flagged for manual review (not-found-404, js-rendered); not auto-deleted. This is a 404 test page created by a limited user account with no real content, no meta description, and zero alignment with any GSA line of business.",,,,,yes,not-found-404; js-rendered,19,19,2026-08-17T20:18:54.658Z
https://www.gsa.gov/photos/test-2,test 2 | GSA,4,2,0,1,0,0,1,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. This is a test/placeholder page with only 9 words of content, a generic 'test 2' title, no substantive information, and is part of a 203-page duplicate cluster, making it entirely without value.",,,,,yes,js-rendered,42,42,2026-08-17T20:36:26.541Z
https://www.gsa.gov/photos/testtestphoto,testtestphoto | GSA,4,2,0,1,0,0,1,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. Test/placeholder page with no real content (9 words, no meta description, generic boilerplate body text), part of a 203-page duplicate cluster, and clearly not intended for public consumption.",,,,,yes,js-rendered,43,42,2026-08-17T20:36:39.132Z
https://www.gsa.gov/blog/2021/10/13/gsa-celebrates-international-plain-language-day,GSA Celebrates International Plain Language Day | GSA,5,0,0,0,2,2,1,Needs review,"Flagged for manual review (not-found-404, js-rendered); not auto-deleted. Page returns a 404 error with no content, negligible traffic, and is part of a duplicate cluster of 5; there is nothing to preserve.",,,,,yes,not-found-404; js-rendered,49,58,2026-08-17T19:52:48.644Z
https://www.gsa.gov/blog/2023/01/31/gsa-promotes-abilityone-success-at-melwood-conference-for-inclusion,GSA promotes AbilityOne success at Melwood conference for inclusion | GSA,8,0,0,0,2,5,1,Needs review,"Flagged for manual review (not-found-404, js-rendered); not auto-deleted. Page returns a 404 error with no recoverable content; the blog post no longer exists and has negligible traffic.",,,,,yes,not-found-404; js-rendered,178,184,2026-08-17T17:13:25.899Z
https://www.gsa.gov/about-gsa/gsa-galleries/gsa-and-opm-announce-partnership,GSA and OPM announce partnership | GSA,10,5,0,2,2,0,1,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. Page renders only 9 words of actual content—a photo gallery announcement with no substantive text, no downloads, and a duplicate cluster of 203—making it effectively an empty shell with negligible traffic and zero informational value.",,,,,yes,js-rendered,109,121,2026-08-17T16:59:53.751Z
https://www.gsa.gov/about-gsa/gsa-galleries/administrator-forst-in-new-york,Administrator Forst in New York | GSA,10,5,1,1,2,0,1,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. This is a near-empty photo gallery page for a former GSA Administrator with only 9 words of body content, no substantive information, extremely low traffic, and is part of a 203-page duplicate cluster with no unique value.",,,,,yes,js-rendered,52,55,2026-08-17T21:05:59.472Z
https://www.gsa.gov/photos/administrator-forst-in-new-york,Administrator Forst in New York | GSA,10,5,1,1,2,0,1,Needs review,"Flagged for manual review (js-rendered); not auto-deleted. A near-empty JS-rendered photo gallery page with only 9 words of body text, no meta description, 203-page duplicate cluster, and 28 DAP visits offers negligible content or user value.",,,,,yes,js-rendered,28,38,2026-08-17T19:34:33.733Z
